127.0.0.1, 2021-05-26 11:02:39, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.236001
127.0.0.1, 2021-05-26 11:03:06, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.302998
127.0.0.1, 2021-05-26 11:03:47, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.341998
127.0.0.1, 2021-05-26 11:04:26, POST, /movies/default/call/json/get_recommendation, HTTP/1.1, 404, 0.231989
127.0.0.1, 2021-05-26 11:04:45, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.270995
127.0.0.1, 2021-05-26 11:04:52, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.209998
127.0.0.1, 2021-05-26 11:05:27, GET, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.235200
127.0.0.1, 2021-05-26 11:05:29, GET, /admin/default/ticket/movies/127.0.0.1.2021-05-26.11-05-27.9242e665-be33-4739-95e1-84f15c34d729, HTTP/1.1, 200, 0.051001
127.0.0.1, 2021-05-26 11:06:22, POST, /movies/default/call/json/get_recommendation, HTTP/1.1, 404, 0.241985
127.0.0.1, 2021-05-26 11:06:28, POST, /movies/default/call/json/get_recommendation, HTTP/1.1, 404, 0.222958
127.0.0.1, 2021-05-26 11:06:37, GET, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.216505
127.0.0.1, 2021-05-26 11:06:43, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.354996
127.0.0.1, 2021-05-26 11:08:37, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.234998
127.0.0.1, 2021-05-26 11:08:47, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.223997
127.0.0.1, 2021-05-26 11:11:59, GET, /movies/static/movies/index.html, HTTP/1.1, 200, 0.051000
127.0.0.1, 2021-05-26 11:11:59, GET, /movies/static/movies/vendor/bootstrap/css/bootstrap.min.css, HTTP/1.1, 200, 0.015999
127.0.0.1, 2021-05-26 11:11:59, GET, /movies/static/movies/vendor/custom.css, HTTP/1.1, 200, 0.020998
127.0.0.1, 2021-05-26 11:11:59, GET, /movies/static/movies/vendor/loadash.js, HTTP/1.1, 200, 0.088998
127.0.0.1, 2021-05-26 11:12:00, GET, /movies/static/movies/vendor/axios.min.js, HTTP/1.1, 200, 0.130000
127.0.0.1, 2021-05-26 11:12:00, GET, /movies/static/movies/vendor/bootstrap/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.112001
127.0.0.1, 2021-05-26 11:12:00, GET, /movies/static/movies/vendor/jquery.min.js, HTTP/1.1, 200, 0.133999
127.0.0.1, 2021-05-26 11:12:00, GET, /movies/static/movies/vendor/vue-ratings.js, HTTP/1.1, 200, 0.132001
127.0.0.1, 2021-05-26 11:12:00, GET, /movies/static/movies/vendor/vue.js, HTTP/1.1, 200, 0.173001
127.0.0.1, 2021-05-26 11:12:00, GET, /movies/static/movies/movies.json, HTTP/1.1, 200, 0.009000
127.0.0.1, 2021-05-26 11:12:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 11:13:25, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001999
127.0.0.1, 2021-05-26 11:13:37, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.005019
127.0.0.1, 2021-05-26 11:13:41, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.002002
127.0.0.1, 2021-05-26 11:13:41, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001999
127.0.0.1, 2021-05-26 11:15:10, GET, /movies/static/movies/index.html, HTTP/1.1, 200, 0.023467
127.0.0.1, 2021-05-26 11:15:10, GET, /movies/static/movies/vendor/jquery.min.js, HTTP/1.1, 304, 0.000993
127.0.0.1, 2021-05-26 11:15:10, GET, /movies/static/movies/vendor/vue.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2021-05-26 11:15:10, GET, /movies/static/movies/vendor/axios.min.js, HTTP/1.1, 304, 0.001998
127.0.0.1, 2021-05-26 11:15:10, GET, /movies/static/movies/vendor/loadash.js, HTTP/1.1, 304, 0.001998
127.0.0.1, 2021-05-26 11:15:10, GET, /movies/static/movies/vendor/vue-ratings.js, HTTP/1.1, 304, 0.002001
127.0.0.1, 2021-05-26 11:15:10, GET, /movies/static/movies/vendor/bootstrap/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002001
127.0.0.1, 2021-05-26 11:15:10, GET, /movies/static/movies/movies.json, HTTP/1.1, 304, 0.001001
127.0.0.1, 2021-05-26 11:15:13, GET, /movies/static/movies/index.html, HTTP/1.1, 304, 0.001010
